category,name,baseType,itemType,variant,detailsId,levelRequired,links,corrupted,mapTier,gemLevel,gemQuality,chaosEquivalent,Tier,Override,SetFontSize,PlayAlertSound,SetBackgroundColor,PlayEffect,MinimapIcon
base,Two-Toned Boots,Two-Toned Boots,Boots,'Shaper/Elder,two-toned-boots-82-shaper-elder,82,,,,,,13801.15,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Elder,sorcerer-boots-86-shaper-elder,86,,,,,,13201.1,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Elder/Warlord,sorcerer-boots-84-elder-warlord,84,,,,,,13201.1,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Elder,sorcerer-boots-84-shaper-elder,84,,,,,,11880.99,,,,,,,
base,Transfer-attuned Spirit Shield,Transfer-attuned Spirit Shield,Shield,'Redeemer/Hunter,transfer-attuned-spirit-shield-86-redeemer-hunter,86,,,,,,9000.75,,,,,,,
base,Wrist Chopper,Wrist Chopper,One Handed Axe,'Redeemer,wrist-chopper-82-redeemer,82,,,,,,7200.6,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Shaper/Redeemer,stygian-vise-84-shaper-redeemer,84,,,,,,6240.52,,,,,,,
base,Broadhead Arrow Quiver,Broadhead Arrow Quiver,Quiver,'Warlord/Hunter,broadhead-arrow-quiver-85-warlord-hunter,85,,,,,,6000.5,,,,,,,
base,Onyx Amulet,Onyx Amulet,Amulet,'Shaper/Redeemer,onyx-amulet-83-shaper-redeemer,83,,,,,,6000.5,,,,,,,
base,Sorcerer Gloves,Sorcerer Gloves,Gloves,'Warlord/Hunter,sorcerer-gloves-86-warlord-hunter,86,,,,,,6000.5,,,,,,,
base,Archdemon Crown,Archdemon Crown,Helmet,'Shaper/Elder,archdemon-crown-86-shaper-elder,86,,,,,,6000.5,,,,,,,
base,Archdemon Crown,Archdemon Crown,Helmet,'Shaper/Elder,archdemon-crown-85-shaper-elder,85,,,,,,6000.5,,,,,,,
base,Death Bow,Death Bow,Bow,'Shaper/Hunter,death-bow-86-shaper-hunter,86,,,,,,6000.5,,,,,,,
base,Eye Gouger,Eye Gouger,Claw,'Shaper/Crusader,eye-gouger-86-shaper-crusader,86,,,,,,5400.45,,,,,,,
base,Fugitive Boots,Fugitive Boots,Boots,'Redeemer/Hunter,fugitive-boots-84-redeemer-hunter,84,,,,,,5400.45,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Shaper/Warlord,opal-ring-85-shaper-warlord,85,,,,,,4800.4,,,,,,,
base,Citrine Amulet,Citrine Amulet,Amulet,'Shaper/Hunter,citrine-amulet-83-shaper-hunter,83,,,,,,4800.4,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Elder,sorcerer-boots-82-shaper-elder,82,,,,,,4800.4,,,,,,,
base,Blizzard Crown,Blizzard Crown,Helmet,'Shaper/Elder,blizzard-crown-84-shaper-elder,84,,,,,,4560.38,,,,,,,
base,Apothecary's Gloves,Apothecary's Gloves,Gloves,'Elder/Hunter,apothecarys-gloves-85-elder-hunter,85,,,,,,4440.37,,,,,,,
base,Gripped Gloves,Gripped Gloves,Gloves,'Warlord/Hunter,gripped-gloves-84-warlord-hunter,84,,,,,,4150.16,,,,,,,
base,Fingerless Silk Gloves,Fingerless Silk Gloves,Gloves,'Elder/Hunter,fingerless-silk-gloves-85-elder-hunter,85,,,,,,3960.33,,,,,,,
base,Cogwork Ring,Cogwork Ring,Ring,'Warlord,cogwork-ring-86-warlord,86,,,,,,3600.3,,,,,,,
base,Citrine Amulet,Citrine Amulet,Amulet,'Redeemer/Hunter,citrine-amulet-86-redeemer-hunter,86,,,,,,3600.3,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Warlord,sinistral-gloves-85-warlord,85,,,,,,3600.3,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Redeemer/Hunter,sorcerer-boots-83-redeemer-hunter,83,,,,,,3479.09,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Hunter,sorcerer-boots-84-shaper-hunter,84,,,,,,3065.66,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Crusader/Hunter,sorcerer-boots-86-crusader-hunter,86,,,,,,3060.26,,,,,,,
base,Steel Ring,Steel Ring,Ring,'Shaper/Warlord,steel-ring-83-shaper-warlord,83,,,,,,3060.26,,,,,,,
base,Gripped Gloves,Gripped Gloves,Gloves,'Warlord/Hunter,gripped-gloves-85-warlord-hunter,85,,,,,,3000.25,,,,,,,
base,Lapis Amulet,Lapis Amulet,Amulet,'Warlord/Hunter,lapis-amulet-84-warlord-hunter,84,,,,,,3000.25,,,,,,,
base,Jade Amulet,Jade Amulet,Amulet,'Crusader/Hunter,jade-amulet-85-crusader-hunter,85,,,,,,3000.25,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Shaper/Crusader,stygian-vise-83-shaper-crusader,83,,,,,,3000.25,,,,,,,
base,Southswing Gloves,Southswing Gloves,Gloves,'Elder/Warlord,southswing-gloves-82-elder-warlord,82,,,,,,3000.25,,,,,,,
base,Golden Kris,Golden Kris,Dagger,'Shaper/Redeemer,golden-kris-84-shaper-redeemer,84,,,,,,2998.81,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Shaper/Redeemer,marble-amulet-83-shaper-redeemer,83,,,,,,2880.24,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Redeemer,sorcerer-boots-86-shaper-redeemer,86,,,,,,2760.23,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Elder,sorcerer-boots-83-shaper-elder,83,,,,,,2760.23,,,,,,,
base,Titanium Spirit Shield,Titanium Spirit Shield,Shield,'Shaper/Redeemer,titanium-spirit-shield-83-shaper-redeemer,83,,,,,,2531.01,,,,,,,
base,Stabilising Sceptre,Stabilising Sceptre,One Handed Mace,'Redeemer,stabilising-sceptre-83-redeemer,83,,,,,,2520.21,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Elder/Hunter,two-toned-boots-85-elder-hunter,85,,,,,,2520.21,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Elder/Hunter,stygian-vise-86-elder-hunter,86,,,,,,2519.6,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Crusader,stygian-vise-83-crusader,83,,,,,,2400.2,,,,,,,
base,Stabilising Sceptre,Stabilising Sceptre,One Handed Mace,'Redeemer,stabilising-sceptre-82-redeemer,82,,,,,,2400.2,,,,,,,
base,Onyx Amulet,Onyx Amulet,Amulet,'Shaper/Crusader,onyx-amulet-86-shaper-crusader,86,,,,,,2400.2,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Shaper/Warlord,opal-ring-86-shaper-warlord,86,,,,,,2400.2,,,,,,,
base,Gripped Gloves,Gripped Gloves,Gloves,'Shaper/Warlord,gripped-gloves-83-shaper-warlord,83,,,,,,2400.2,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Shaper/Hunter,two-toned-boots-84-shaper-hunter,84,,,,,,2400.2,,,,,,,
base,Unset Ring,Unset Ring,Ring,'Shaper/Crusader,unset-ring-84-shaper-crusader,84,,,,,,2400.2,,,,,,,
base,Archon Kite Shield,Archon Kite Shield,Shield,'Shaper/Hunter,archon-kite-shield-86-shaper-hunter,86,,,,,,2400.2,,,,,,,
base,Lapis Amulet,Lapis Amulet,Amulet,'Warlord/Hunter,lapis-amulet-85-warlord-hunter,85,,,,,,2400.2,,,,,,,
base,Two-Stone Ring,Two-Stone Ring,Ring,'Shaper/Elder,two-stone-ring-83-shaper-elder,83,,,,,,2400.2,,,,,,,
base,Jade Amulet,Jade Amulet,Amulet,'Redeemer/Hunter,jade-amulet-82-redeemer-hunter,82,,,,,,2400.2,,,,,,,
base,Engraved Wand,Engraved Wand,Wand,'Crusader/Hunter,engraved-wand-83-crusader-hunter,83,,,,,,2400.2,,,,,,,
base,Steel Ring,Steel Ring,Ring,'Shaper/Hunter,steel-ring-83-shaper-hunter,83,,,,,,2400.2,,,,,,,
base,Apothecary's Gloves,Apothecary's Gloves,Gloves,'Elder/Warlord,apothecarys-gloves-86-elder-warlord,86,,,,,,2400.2,,,,,,,
base,Demon Crown,Demon Crown,Helmet,'Shaper/Redeemer,demon-crown-84-shaper-redeemer,84,,,,,,2400.2,,,,,,,
base,Sambar Sceptre,Sambar Sceptre,One Handed Mace,'Shaper/Redeemer,sambar-sceptre-84-shaper-redeemer,84,,,,,,2400.2,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Crusader/Hunter,two-toned-boots-85-crusader-hunter,85,,,,,,2293.27,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Shaper/Redeemer,marble-amulet-85-shaper-redeemer,85,,,,,,2280.19,,,,,,,
base,Turquoise Amulet,Turquoise Amulet,Amulet,'Elder/Warlord,turquoise-amulet-84-elder-warlord,84,,,,,,2280.19,,,,,,,
base,Two-Stone Ring,Two-Stone Ring,Ring,'Shaper/Elder,two-stone-ring-86-shaper-elder,86,,,,,,2160.18,,,,,,,
base,Southswing Gloves,Southswing Gloves,Gloves,'Crusader/Warlord,southswing-gloves-85-crusader-warlord,85,,,,,,2160.18,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Warlord/Hunter,marble-amulet-85-warlord-hunter,85,,,,,,2144.82,,,,,,,
base,Citrine Amulet,Citrine Amulet,Amulet,'Crusader/Hunter,citrine-amulet-83-crusader-hunter,83,,,,,,2040.17,,,,,,,
base,Gripped Gloves,Gripped Gloves,Gloves,'Warlord/Hunter,gripped-gloves-86-warlord-hunter,86,,,,,,1998.65,,,,,,,
base,Steel Ring,Steel Ring,Ring,'Shaper/Warlord,steel-ring-85-shaper-warlord,85,,,,,,1931.68,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Warlord/Hunter,sinistral-gloves-83-warlord-hunter,83,,,,,,1920.16,,,,,,,
base,Dreamquest Slippers,Dreamquest Slippers,Boots,'Elder/Redeemer,dreamquest-slippers-86-elder-redeemer,86,,,,,,1920.16,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Crusader/Warlord,sinistral-gloves-83-crusader-warlord,83,,,,,,1911.83,,,,,,,
base,Agate Amulet,Agate Amulet,Amulet,'Warlord/Hunter,agate-amulet-86-warlord-hunter,86,,,,,,1806.39,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Redeemer/Hunter,stygian-vise-86-redeemer-hunter,86,,,,,,1800.15,,,,,,,
base,Titanium Spirit Shield,Titanium Spirit Shield,Shield,'Redeemer/Hunter,titanium-spirit-shield-85-redeemer-hunter,85,,,,,,1800.15,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Shaper/Redeemer,opal-ring-83-shaper-redeemer,83,,,,,,1800.15,,,,,,,
base,Crystal Belt,Crystal Belt,Belt,'Shaper/Redeemer,crystal-belt-85-shaper-redeemer,85,,,,,,1800.15,,,,,,,
base,Vermillion Ring,Vermillion Ring,Ring,'Shaper/Elder,vermillion-ring-85-shaper-elder,85,,,,,,1800.15,,,,,,,
base,Imbued Wand,Imbued Wand,Wand,'Shaper/Hunter,imbued-wand-82-shaper-hunter,82,,,,,,1800.15,,,,,,,
base,Onyx Amulet,Onyx Amulet,Amulet,'Elder/Hunter,onyx-amulet-85-elder-hunter,85,,,,,,1800.15,,,,,,,
base,Platinum Kris,Platinum Kris,Dagger,'Shaper/Crusader,platinum-kris-86-shaper-crusader,86,,,,,,1800.15,,,,,,,
base,Titan Greaves,Titan Greaves,Boots,'Redeemer/Hunter,titan-greaves-83-redeemer-hunter,83,,,,,,1800.15,,,,,,,
base,Agate Amulet,Agate Amulet,Amulet,'Shaper/Redeemer,agate-amulet-85-shaper-redeemer,85,,,,,,1800.15,,,,,,,
base,Lapis Amulet,Lapis Amulet,Amulet,'Warlord/Hunter,lapis-amulet-86-warlord-hunter,86,,,,,,1800.15,,,,,,,
base,Amethyst Ring,Amethyst Ring,Ring,'Shaper/Warlord,amethyst-ring-86-shaper-warlord,86,,,,,,1800.15,,,,,,,
base,Lapis Amulet,Lapis Amulet,Amulet,'Redeemer/Hunter,lapis-amulet-84-redeemer-hunter,84,,,,,,1800.15,,,,,,,
base,Gemini Claw,Gemini Claw,Claw,'Elder/Hunter,gemini-claw-86-elder-hunter,86,,,,,,1800.15,,,,,,,
base,Blizzard Crown,Blizzard Crown,Helmet,'Shaper/Warlord,blizzard-crown-83-shaper-warlord,83,,,,,,1800.15,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Elder/Redeemer,opal-ring-82-elder-redeemer,82,,,,,,1800.15,,,,,,,
base,Blizzard Crown,Blizzard Crown,Helmet,'Shaper/Warlord,blizzard-crown-85-shaper-warlord,85,,,,,,1800.15,,,,,,,
base,Southswing Gloves,Southswing Gloves,Gloves,'Warlord/Hunter,southswing-gloves-86-warlord-hunter,86,,,,,,1800.15,,,,,,,
base,Harlequin Mask,Harlequin Mask,Helmet,'Redeemer/Warlord,harlequin-mask-86-redeemer-warlord,86,,,,,,1800.15,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Elder/Warlord,sorcerer-boots-83-elder-warlord,83,,,,,,1800.15,,,,,,,
base,Royal Sceptre,Royal Sceptre,One Handed Mace,'Shaper/Redeemer,royal-sceptre-86-shaper-redeemer,86,,,,,,1800.15,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Shaper/Hunter,two-toned-boots-86-shaper-hunter,86,,,,,,1685.42,,,,,,,
base,Unset Ring,Unset Ring,Ring,'Redeemer/Hunter,unset-ring-86-redeemer-hunter,86,,,,,,1680.14,,,,,,,
base,Lapis Amulet,Lapis Amulet,Amulet,'Redeemer/Hunter,lapis-amulet-86-redeemer-hunter,86,,,,,,1620.14,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Shaper/Elder,two-toned-boots-83-shaper-elder,83,,,,,,1614.01,,,,,,,
base,Thorium Spirit Shield,Thorium Spirit Shield,Shield,'Crusader/Redeemer,thorium-spirit-shield-82-crusader-redeemer,82,,,,,,1596.13,,,,,,,
base,Runic Sabatons,Runic Sabatons,Boots,'Redeemer/Hunter,runic-sabatons-86-redeemer-hunter,86,,,,,,1560.13,,,,,,,
base,Citrine Amulet,Citrine Amulet,Amulet,'Warlord/Hunter,citrine-amulet-86-warlord-hunter,86,,,,,,1440.12,,,,,,,
base,Onyx Amulet,Onyx Amulet,Amulet,'Shaper/Crusader,onyx-amulet-83-shaper-crusader,83,,,,,,1440.12,,,,,,,
base,Bronze Tower Shield,Bronze Tower Shield,Shield,'Shaper/Warlord,bronze-tower-shield-86-shaper-warlord,86,,,,,,1440.12,,,,,,,
base,Artillery Quiver,Artillery Quiver,Quiver,'Shaper/Hunter,artillery-quiver-85-shaper-hunter,85,,,,,,1440.12,,,,,,,
base,Runic Hatchet,Runic Hatchet,One Handed Axe,'Warlord/Hunter,runic-hatchet-83-warlord-hunter,83,,,,,,1440.12,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Shaper/Warlord,sinistral-gloves-84-shaper-warlord,84,,,,,,1440.12,,,,,,,
base,Crystal Belt,Crystal Belt,Belt,'Shaper/Crusader,crystal-belt-84-shaper-crusader,84,,,,,,1373.99,,,,,,,
base,Simplex Amulet,Simplex Amulet,Amulet,'Redeemer/Hunter,simplex-amulet-86-redeemer-hunter,86,,,,,,1367.27,,,,,,,
base,Agate Amulet,Agate Amulet,Amulet,'Redeemer/Hunter,agate-amulet-82-redeemer-hunter,82,,,,,,1361.75,,,,,,,
base,Psychotic Axe,Psychotic Axe,One Handed Axe,'Elder,psychotic-axe-86-elder,86,,,,,,1330.91,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Hunter,stygian-vise-83-hunter,83,,,,,,1320.11,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Redeemer/Hunter,two-toned-boots-82-redeemer-hunter,82,,,,,,1320.11,,,,,,,
base,Ivory Spirit Shield,Ivory Spirit Shield,Shield,'Crusader/Redeemer,ivory-spirit-shield-83-crusader-redeemer,83,,,,,,1320.11,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Elder/Hunter,two-toned-boots-83-elder-hunter,83,,,,,,1320.11,,,,,,,
base,Simplex Amulet,Simplex Amulet,Amulet,'Shaper/Redeemer,simplex-amulet-83-shaper-redeemer,83,,,,,,1238.04,,,,,,,
base,Plank Kite Shield,Plank Kite Shield,Shield,'Shaper,plank-kite-shield-85-shaper,85,,,,,,1221.85,,,,,,,
base,Agate Amulet,Agate Amulet,Amulet,'Redeemer/Hunter,agate-amulet-83-redeemer-hunter,83,,,,,,1212.58,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Redeemer/Warlord,opal-ring-83-redeemer-warlord,83,,,,,,1212.58,,,,,,,
base,Tarnished Spirit Shield,Tarnished Spirit Shield,Shield,'Shaper,tarnished-spirit-shield-82-shaper,82,,,,,,1200.1,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Hunter,stygian-vise-82-hunter,82,,,,,,1200.1,,,,,,,
base,Oscillating Sceptre,Oscillating Sceptre,One Handed Mace,'Warlord,oscillating-sceptre-84-warlord,84,,,,,,1200.1,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Crusader/Hunter,stygian-vise-86-crusader-hunter,86,,,,,,1200.1,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Redeemer/Hunter,sorcerer-boots-85-redeemer-hunter,85,,,,,,1200.1,,,,,,,
base,Fossilised Spirit Shield,Fossilised Spirit Shield,Shield,'Shaper/Hunter,fossilised-spirit-shield-86-shaper-hunter,86,,,,,,1200.1,,,,,,,
base,Fingerless Silk Gloves,Fingerless Silk Gloves,Gloves,'Shaper/Elder,fingerless-silk-gloves-84-shaper-elder,84,,,,,,1200.1,,,,,,,
base,Two-Stone Ring,Two-Stone Ring,Ring,'Shaper/Hunter,two-stone-ring-83-shaper-hunter,83,,,,,,1200.1,,,,,,,
base,Two-Stone Ring,Two-Stone Ring,Ring,'Elder/Warlord,two-stone-ring-86-elder-warlord,86,,,,,,1200.1,,,,,,,
base,Fingerless Silk Gloves,Fingerless Silk Gloves,Gloves,'Shaper/Elder,fingerless-silk-gloves-86-shaper-elder,86,,,,,,1200.1,,,,,,,
base,Turquoise Amulet,Turquoise Amulet,Amulet,'Warlord/Hunter,turquoise-amulet-82-warlord-hunter,82,,,,,,1200.1,,,,,,,
base,Sapphire Ring,Sapphire Ring,Ring,'Shaper/Crusader,sapphire-ring-86-shaper-crusader,86,,,,,,1200.1,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Redeemer/Hunter,marble-amulet-83-redeemer-hunter,83,,,,,,1200.1,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Shaper/Redeemer,marble-amulet-82-shaper-redeemer,82,,,,,,1200.1,,,,,,,
base,Slink Boots,Slink Boots,Boots,'Shaper/Hunter,slink-boots-86-shaper-hunter,86,,,,,,1200.1,,,,,,,
base,Chiming Spirit Shield,Chiming Spirit Shield,Shield,'Crusader/Redeemer,chiming-spirit-shield-84-crusader-redeemer,84,,,,,,1200.1,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Crusader,sinistral-gloves-82-crusader,82,,,,,,1200.1,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Hunter,sinistral-gloves-83-hunter,83,,,,,,1200.1,,,,,,,
base,Sinistral Gloves,Sinistral Gloves,Gloves,'Crusader/Warlord,sinistral-gloves-85-crusader-warlord,85,,,,,,1200.1,,,,,,,
base,Gripped Gloves,Gripped Gloves,Gloves,'Crusader/Warlord,gripped-gloves-83-crusader-warlord,83,,,,,,1200.1,,,,,,,
base,Gemini Claw,Gemini Claw,Claw,'Elder/Hunter,gemini-claw-83-elder-hunter,83,,,,,,1200.1,,,,,,,
base,Artillery Quiver,Artillery Quiver,Quiver,'Warlord/Hunter,artillery-quiver-83-warlord-hunter,83,,,,,,1200.1,,,,,,,
base,Pneumatic Dagger,Pneumatic Dagger,Dagger,'Elder/Hunter,pneumatic-dagger-86-elder-hunter,86,,,,,,1200.1,,,,,,,
base,Abyssal Sceptre,Abyssal Sceptre,One Handed Mace,'Crusader/Redeemer,abyssal-sceptre-85-crusader-redeemer,85,,,,,,1200.1,,,,,,,
base,Spiked Gloves,Spiked Gloves,Gloves,'Warlord/Hunter,spiked-gloves-84-warlord-hunter,84,,,,,,1188.46,,,,,,,
base,Thorium Spirit Shield,Thorium Spirit Shield,Shield,'Crusader/Redeemer,thorium-spirit-shield-83-crusader-redeemer,83,,,,,,1164.1,,,,,,,
base,Barbute Helmet,Barbute Helmet,Helmet,'Redeemer,barbute-helmet-85-redeemer,85,,,,,,1080.09,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Warlord/Hunter,stygian-vise-86-warlord-hunter,86,,,,,,1080.09,,,,,,,
base,Onyx Amulet,Onyx Amulet,Amulet,'Crusader/Hunter,onyx-amulet-85-crusader-hunter,85,,,,,,1080.09,,,,,,,
base,Lapis Amulet,Lapis Amulet,Amulet,'Shaper/Hunter,lapis-amulet-86-shaper-hunter,86,,,,,,1080.09,,,,,,,
base,Hydrascale Boots,Hydrascale Boots,Boots,'Redeemer/Hunter,hydrascale-boots-83-redeemer-hunter,83,,,,,,1080.09,,,,,,,
base,Turquoise Amulet,Turquoise Amulet,Amulet,'Redeemer/Hunter,turquoise-amulet-84-redeemer-hunter,84,,,,,,1080.09,,,,,,,
base,Golden Kris,Golden Kris,Dagger,'Shaper/Redeemer,golden-kris-82-shaper-redeemer,82,,,,,,1080.09,,,,,,,
base,Crystal Belt,Crystal Belt,Belt,'Crusader/Redeemer,crystal-belt-84-crusader-redeemer,84,,,,,,1077.91,,,,,,,
base,Apothecary's Gloves,Apothecary's Gloves,Gloves,'Warlord/Hunter,apothecarys-gloves-84-warlord-hunter,84,,,,,,1050.09,,,,,,,
base,Fugitive Boots,Fugitive Boots,Boots,'Redeemer/Hunter,fugitive-boots-86-redeemer-hunter,86,,,,,,1044.09,,,,,,,
base,Two-Toned Boots,Two-Toned Boots,Boots,'Shaper/Hunter,two-toned-boots-82-shaper-hunter,82,,,,,,1041.14,,,,,,,
base,Sorcerer Boots,Sorcerer Boots,Boots,'Shaper/Hunter,sorcerer-boots-85-shaper-hunter,85,,,,,,1036.13,,,,,,,
base,Simplex Amulet,Simplex Amulet,Amulet,'Shaper/Redeemer,simplex-amulet-84-shaper-redeemer,84,,,,,,996.08,,,,,,,
base,Apothecary's Gloves,Apothecary's Gloves,Gloves,'Warlord/Hunter,apothecarys-gloves-82-warlord-hunter,82,,,,,,996.08,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Shaper/Warlord,opal-ring-84-shaper-warlord,84,,,,,,972.08,,,,,,,
base,Endothermic Buckler,Endothermic Buckler,Shield,'Crusader/Redeemer,endothermic-buckler-84-crusader-redeemer,84,,,,,,972.08,,,,,,,
base,Ironscale Boots,Ironscale Boots,Boots,'Shaper,ironscale-boots-83-shaper,83,,,,,,960.08,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Elder,stygian-vise-84-elder,84,,,,,,960.08,,,,,,,
base,Alternating Sceptre,Alternating Sceptre,One Handed Mace,'Crusader,alternating-sceptre-83-crusader,83,,,,,,960.08,,,,,,,
base,Citrine Amulet,Citrine Amulet,Amulet,'Crusader/Hunter,citrine-amulet-85-crusader-hunter,85,,,,,,960.08,,,,,,,
base,Crystal Belt,Crystal Belt,Belt,'Crusader/Redeemer,crystal-belt-86-crusader-redeemer,86,,,,,,960.08,,,,,,,
base,Spiked Gloves,Spiked Gloves,Gloves,'Elder/Warlord,spiked-gloves-84-elder-warlord,84,,,,,,960.08,,,,,,,
base,Opal Ring,Opal Ring,Ring,'Shaper/Redeemer,opal-ring-85-shaper-redeemer,85,,,,,,960.08,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Shaper/Redeemer,marble-amulet-86-shaper-redeemer,86,,,,,,960.08,,,,,,,
base,Stygian Vise,Stygian Vise,Belt,'Shaper/Crusader,stygian-vise-84-shaper-crusader,84,,,,,,960.08,,,,,,,
base,Vermillion Ring,Vermillion Ring,Ring,'Shaper/Elder,vermillion-ring-83-shaper-elder,83,,,,,,960.08,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Shaper/Hunter,marble-amulet-86-shaper-hunter,86,,,,,,960.08,,,,,,,
base,Citadel Bow,Citadel Bow,Bow,'Elder/Warlord,citadel-bow-84-elder-warlord,84,,,,,,960.08,,,,,,,
base,Citrine Amulet,Citrine Amulet,Amulet,'Redeemer/Hunter,citrine-amulet-84-redeemer-hunter,84,,,,,,960.08,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Warlord/Hunter,marble-amulet-84-warlord-hunter,84,,,,,,960.08,,,,,,,
base,Stabilising Sceptre,Stabilising Sceptre,One Handed Mace,'Shaper,stabilising-sceptre-86-shaper,86,,,,,,960.08,,,,,,,
base,Southswing Gloves,Southswing Gloves,Gloves,'Crusader,southswing-gloves-86-crusader,86,,,,,,960.08,,,,,,,
base,Blizzard Crown,Blizzard Crown,Helmet,'Redeemer/Warlord,blizzard-crown-82-redeemer-warlord,82,,,,,,960.08,,,,,,,
base,Seaglass Amulet,Seaglass Amulet,Amulet,'Shaper,seaglass-amulet-84-shaper,84,,,,,,960.08,,,,,,,
base,Marble Amulet,Marble Amulet,Amulet,'Crusader/Redeemer,marble-amulet-85-crusader-redeemer,85,,,,,,960.08,,,,,,,
